Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
20,,111 E O'Bryan Avenue-20,Bardstown,KY,40004,05/17/2023 15:26,Yes,Plumbing,Kitchen ,Low,Kitchen is backed up and nothing is going down ,Kitchen sink ,Completed,TKNZIJ8,05/17/2023 15:39,,06/19/2023 12:26,"06/08/23 10:32 AM by Ricky Maldonado
June 5-8 unit 20

Removed other cabinet in kitchen and continue to jack hammer towards wall to find good cast pipe to tie onto. Dug down and under mind towards bathroom about 2 ft and cast was still cracked and rotted. We removed bathroom vanity and jackhammered floor was final able to find 4"" cast iron tee were kitchen sink lines tied into. We ran new 2"" pvc drain line from kitchen sink to tie in at 4"" tee approx 12 ft of 2"" drain line.
Back filled holes in kitchen and bathroom and poured 8 60lbs bags of concrete. Re installed bathroom vanity and kitchen cabinets and sink. Ran water no leaks drains are flowing.

06/03/23 07:07 PM by Ricky Maldonado
Removed kitchen cabinets from wall. Jack hammered up concrete to access broken drain line. Dug down about 3 ft and under minded towards next door unit about 2 ft and was finally able to find draine line found broken cast 90. Cut out 90 and was unable to attach to horizontal line as it's rotted on bottom chased pipe about another 4 ft and was still not finding good pipe to tie on to. Will return Monday to continue job.

05/19/23 05:01 PM by Tim Peterson
Unit 20 kitchen sink stoppage. Try to run Saint machine down kitchen sink, drain line and kept finding up around 3 to 4 feet. Pulled back what appeared to be bristles from a brush. Kept binding up on whatever it was. Got past the object. That’s stuck in the drain and pulled vac mud. We’ll have to return to fix drain line. Was unable to get the drain line to drain. Will submit a quote to jackhammer up and replace kitchen sink drain line.

05/19/23 07:25 AM by Ricky Maldonado
Found kitchen sink backing up in unit 20 its on a cross with unit 22. Attempted to run snake down kitchen drain but could only get cable down cross about 5 ft before it wanted to bind up. I was not pulling anything back. Re assembled and tried to use thrift to clear. Was also unsuccessful will return at a later time to attempt again and run camera.",,,,,,,,Dixie Plumbing,,05/17/2023 15:39,,https://app.propertymeld.com/1912/m/1912/meld/5362394/summary/,,
1,,6604 Estele Ave,Louisville,KY,40214,05/17/2023 15:25,No,Painting,Exterior,Low,Repaint the porch.,Porch,Pending more management availability,T2QF86N,,,,,,,,,SFH-South,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5362383/summary/,,
1,,6604 Estele Ave,Louisville,KY,40214,05/17/2023 15:22,No,Other,exterior,High,"-Repair wind-damaged shingles on the rear side of the roof.
-Replace the gutters, they're not functioning properly.
-Repair/replace/repaint soffit&fascia as needed. Rot in several areas.",Roof Repairs and gutter replacement (clone),Completed,TVYRWXMB,05/25/2023 17:53,,05/25/2023 18:45,,,,,,,,,"Anytime Roofing & Repairs, LLC",Around 10-15 shingles need to be nailed back down. They came up during the last few wind storms. The gutters are not draining as they should and are in disrepair. There are two areas where the gutters not draining have caused rot in the soffit. One is on the porch and one is in the back near the tenant's back door.,05/25/2023 17:53,05/25/2023 18:45,https://app.propertymeld.com/1912/m/1912/meld/5362359/summary/,,
31,,111 E O'Bryan Avenue-31,Bardstown,KY,40004,05/17/2023 14:50,No,Other,APARTMENT,High,Tenant reported that there is no water at all in the unit. ,No Water,Canceled by manager,TPIIWXL,,,,,05/17/2023 14:56,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5362065/summary/,,
647.5-2,,647 1/2 S 44th Street -2,Louisville,KY,40211,05/17/2023 14:43,Yes,Electrical,647.5 #2,Low,The residents reported that the ac was not working. Our HVAC tech found that there is no power to the disconnect,Electrical Issues,Completed,T476LFK,05/18/2023 08:31,,05/18/2023 09:00,Traced circuit and changed breaker,,,,,,,,Mingus Electric llc,,05/18/2023 08:31,05/18/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5362003/summary/,,
1,,1208 Queen Avenue,Louisville,KY,40215,05/17/2023 14:40,Yes,Plumbing,Basement,Medium,"Drain line needs to be cleaned out before we can install a new toilet

This is in the basement",Drain line ,Completed,TKT4VT8,05/17/2023 14:40,,05/18/2023 10:00,"05/18/23 08:43 AM by Reid Wisehart
Complaint of toilet in basement not flowing properly. Was Asked to check flow of toilet. At arrival found 3” PVC drain running along basement floor with ‘back water valve’ before stack. Opened toilet tank. Tank was dry. Then noticed that the toilet did not have water line. Did put level on pipe and level bubble was just touching line. Did open back water valve, and poured several buckets of water down toilet. Toilet flushed and was able to watch water pass through back water valve. Toilet was old. See attachments. Toilet flowing at this time when bucket of water was poured into fixture. Al with LREI said that they would Install Water line.",,,,,,,,Dixie Plumbing,,05/17/2023 14:40,05/18/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5361976/summary/,,
647.5-2,,647 1/2 S 44th Street -2,Louisville,KY,40211,05/17/2023 14:27,Yes,Heating/AC,whole unit,Medium,"AC is not working. Blowing out hot air. Tenant does not have access to breaker box (boxes are at the other building) to check if breaker may be flipped. She said this happens every Spring, because usually somebody steals some part off the units in the back.  L'Shauna Brown 502-912-4234",AC not working (clone),Completed,TK7E4KBB,05/17/2023 14:36,,06/05/2023 16:09,,,,,,,,,Allstate Mechanical,,05/17/2023 14:36,,https://app.propertymeld.com/1912/m/1912/meld/5361858/summary/,,
2A,,402 North Hite Avenue,Louisville,KY,40206,05/17/2023 14:25,No,Heating/AC,APARTMENT,High,AC is working. The thermostat isn't set up right. He said that there is a switch on the ceiling which needs to be flipped then the thermostat will start working fine. ,AC Switch,Completed,T35Z5VMB,,,05/17/2023 17:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5361828/summary/,,
625-5,,625 S 44th Street -5,Louisville,KY,40211,05/17/2023 14:16,No,Heating/AC,APARTMENT,High,"AC is not working. 
Warm air coming through the vents.
The thermostat is working correctly. 
The current temperature is 73 degrees.
",AC not working (clone),Completed,T1QUZ79,05/17/2023 14:20,,06/05/2023 16:07,,,,,,,,,Allstate Mechanical,,05/17/2023 14:20,,https://app.propertymeld.com/1912/m/1912/meld/5361748/summary/,,
627-4,,627 S 44th Street -4,Louisville,KY,40211,05/17/2023 14:09,No,Plumbing,Bathroom,Medium,Bathroom sink is stopped up. The drain there runs slow. The service tech couldn't reach the clog with his snake.,Bathroom Sink ,Completed,T8J11FF,05/17/2023 14:13,,05/18/2023 07:00,"05/17/23 03:00 PM by Alex Jeter
We went to apt 4 and found that all the water was drained from the bathroom sink drain. We pulled the trap and ran the sink machine 35 feet and pulled back hair and sluge. We put the trap back together and ran lots of hot water, and everything is draining properly. We cleaned up and told the tenant that everything was draining properly.",,,,,,,,Dixie Plumbing,,05/17/2023 14:13,05/18/2023 07:00,https://app.propertymeld.com/1912/m/1912/meld/5361678/summary/,,
1B,,304 Keeneland Drive - 1B,Elizabethtown,KY,42701,05/17/2023 13:52,No,General,unit,Low,"Air conditioning is not working
Garbage disposal isn't working (this will need to be removed)",AC and garbage disposal ,Canceled by manager,TEBTJ69,,,,,05/26/2023 14:21,A separate work order was sent for AC and another work order for the garbage disposal is opened.,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5361525/summary/,,
3,,184 Cannon Court - 3,Louisville,KY,40229,05/17/2023 13:51,Yes,General,bathroom / Kitchen,Low,"Plastic around the bathroom faucet is coming off
Fill all holes where mice can be coming in from
Stove smokes when in use
Upstairs is not getting cold. Thermostat has to be set really low in order for it to get cool
Shower faucet needs to be looked",Multiple issues,Completed,TPPY9QJB,05/17/2023 15:33,,05/22/2023 14:00,,,,,,,,,Mike Guelda,,,05/22/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5361505/summary/,,
40,,111 E O'Bryan Avenue-40,Bardstown,KY,40004,05/17/2023 13:51,Yes,Heating/AC,living room,Medium,,Air filter needs to be replaced,Completed,T83MD9N,,,05/18/2023 09:30,Done ,,,,5,,05/18/2023 15:37,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5361504/summary/,,
2430-106,,2430 McKindree Ct-106,Louisville,KY,40211,05/17/2023 12:28,Yes,Heating/AC,Everywhere,Medium,My thermostat is completely blank and my house is extremely hot. It still allows me to push the buttons and it sounds like my air comes on but I get nothing,Air isn’t working,Completed,TF7YUX1,05/24/2023 09:11,,05/24/2023 16:34,,,,,5,,05/28/2023 17:19,,Allstate Mechanical,,05/24/2023 09:11,,https://app.propertymeld.com/1912/m/1912/meld/5360742/summary/,,
2430-101,,2430 McKindree Ct-101,Louisville,KY,40211,05/17/2023 12:09,No,Appliances,Kitchen,Low,Res stated that her DW is not working all the way through cycle,DW not working correctly,Pending completion,TEUM0Q5,05/24/2023 14:00,,,,,,,,,,,Service Team,,,05/25/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5360439/summary/,,
1,,2705 Butler Road,Louisville,KY,40216,05/17/2023 12:07,Yes,Plumbing,Bathroom,Medium,Toilet is stopped up. Have to flush 2 or 3 times for it to clear but goes down very slow,Toilet,Completed,T9VV7YX,05/17/2023 15:40,,05/19/2023 21:30,,,,,,,,,Albert Hardesty,,,05/19/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5360427/summary/,,
1,,3645 Rolling Ridge Way,Jeffersonville,IN,47130,05/17/2023 09:25,Yes,Blinds/Window treatments,Kitchen,Medium,The fridge keeps shutting off and on,Fridge,Canceled by manager,TCRPRLAB,,,,,05/23/2023 15:20,added to the meld T32LFEMB,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5358921/summary/,,
4,,8801 Malvern Hill Road - 4,Louisville,KY,40242,05/17/2023 07:41,No,General,Bathroom & Master Bedroom,Medium,"Toilet roll holder is broken

Slammed my bedroom's door and my window literally fell down. Also, most of my windows don’t have screens
",Toilet roll holder is broken &  Window is broken,Completed,TNN8WN0,05/19/2023 14:04,,05/22/2023 11:00,,,,,,,,,Jonathan Guyton,,,05/22/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5358532/summary/,,
1,,815 Ulrich Avenue - 1,Louisville,KY,40219,05/17/2023 07:00,No,Cleaning,Office,Low,"Please clean LREI Office space bi-weekly on Wednesdays after 5pm. 
Lockbox to the left of main door w/ key: 0714
Digital code to conference room: 1085 
Please dust and wipe down all surfaces, desks, tables, etc.
Wipe down glass and windows
Clean floors
Nothing is needed to be done out in the Maintenance Bay",LREI Office Cleaning,Pending completion,TQ7CNWEB,05/17/2023 15:55,,,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:55,05/17/2023 17:00,https://app.propertymeld.com/1912/m/1912/meld/5358416/summary/,,
1,,253 Cecil Avenue - 1,Louisville,KY,40212,05/16/2023 17:49,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for spring clean up - remove dead bushes and deweed beds ($150) / - mulch ($150). Please let us know if you approve.,Landscaping Bid,Completed,TRWGMPU,05/24/2023 10:10,,06/21/2023 18:01,,,,,,,,,Complete Landscaping & Lighting,,05/24/2023 10:10,,https://app.propertymeld.com/1912/m/1912/meld/5356572/summary/,,
1,,2322 West Chestnut Street - 1,Louisville,KY,40211,05/16/2023 17:45,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for spring clean up - leaf removal ($425) / - trim shrubs and bushes ($960) / - mulch ($335). Please let us know if you approve.,Landscaping Bid,Canceled by manager,THYHEC9,,,,,05/24/2023 11:19,"Not Approved by: Shrikaknth Cadambi

On: May 17th, 2023 at 11:01PM

Amount: $960.00

Note: Let's wait until a little later for this.",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5356534/summary/,,
1,,4730 Southern Parkway - 1,Louisville,KY,40214,05/16/2023 17:39,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Delimb tree in front/trim shrubs ($225). Please let us know if you approve.,Landscaping Bid,Pending more vendor availability,T29A4RN,05/26/2023 11:13,,,,,,,,,,,Complete Landscaping & Lighting,,05/26/2023 11:13,,https://app.propertymeld.com/1912/m/1912/meld/5356485/summary/,,
1,,4728 Southern Parkway - 1,Louisville,KY,40214,05/16/2023 17:33,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Deweed/Trim bushes and shrubs/mulch ($420). Please let us know if you approve.,Landscaping Bid,Pending more vendor availability,TXQ09EP,05/26/2023 11:14,,,,,,,,,,,Complete Landscaping & Lighting,,05/26/2023 11:14,,https://app.propertymeld.com/1912/m/1912/meld/5356439/summary/,,
1,,601 Revolutionary Road - 1,Louisville,KY,40214,05/16/2023 17:31,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for spring clean up - trim shrubs/deweed/mulch ($460). Please let us know if you approve.,Landscaping Bid,Pending more management availability,THFYRQZ,,,,,,,,,Waiting on Owner Approval,,,Grace Cox,,,,https://app.propertymeld.com/1912/m/1912/meld/5356417/summary/,,
1,,4315 Southern Parkway - 1,Louisville,KY,40214,05/16/2023 17:29,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Deweed/Trim bushes and shrubs/mulch/leaf removal ($620). Please let us know if you approve.,Landscaping Bid,Canceled by manager,T3T06I5,,,,,05/24/2023 11:20,"Not Approved by: Brooke Ballard

On: May 17th, 2023 at 12:27AM

Amount: $620.00

Note: Please check again in July and I would consider it then",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5356390/summary/,,
A,,3645 Powell Avenue - A,Louisville,KY,40215,05/16/2023 17:26,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Deweed/Trim bushes and shrubs/mulch/leaf removal ($780). Please let us know if you approve.,Landscaping Bid,Maintenance could not complete,THNE6GQ,,,05/24/2023 10:43,,,,"Not Approved by: Corey Ritter

On: May 18th, 2023 at 9:09AM

Amount: $780.00

Note: None given",,Waiting on Owner Approval,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5356372/summary/,,
7,,4728 Southern Parkway - 7,Louisville,KY,40214,05/16/2023 17:24,No,Cleaning,Full Unit Sales Clean,High,Code 0987 or V key,Full Unit Sales Clean,Completed,TKG6D5D,05/17/2023 15:58,,05/22/2023 10:45,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:58,05/22/2023 10:45,https://app.propertymeld.com/1912/m/1912/meld/5356360/summary/,,
1,,3511 Manslick Road,Louisville,KY,40215,05/16/2023 17:24,No,Cleaning,Full Unit Sales Clean,High,Code 0987 or V key,Full Unit Sales Clean,Completed,TKCVL7M,05/17/2023 15:54,,05/17/2023 16:00,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:54,05/17/2023 16:00,https://app.propertymeld.com/1912/m/1912/meld/5356357/summary/,,
1,,3509 Manslick Road,Louisville,KY,40215,05/16/2023 17:23,No,Cleaning,Full Unit Sales Clean,High,Code 0987 or V key,Full Unit Sales Clean,Completed,T4LZWXB,05/17/2023 15:54,,05/17/2023 16:00,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:54,05/17/2023 16:00,https://app.propertymeld.com/1912/m/1912/meld/5356347/summary/,,
1,,3513 Manslick Road,Louisville,KY,40215,05/16/2023 17:22,No,Cleaning,Full Unit Sales Clean,High,code 0987 or V key,Full Unit Sales Clean,Completed,TUR66QJB,05/17/2023 15:53,,05/17/2023 16:00,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:53,05/17/2023 16:00,https://app.propertymeld.com/1912/m/1912/meld/5356339/summary/,,
1,,3339 Taylor Boulevard - 1,Louisville,KY,40215,05/16/2023 17:22,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Deweed/Trim bushes and shrubs/mulch/leaf removal ($370). Please let us know if you approve.,Landscaping Bid,Pending more vendor availability,TC63BXJ,05/26/2023 11:15,,,,,,,,,,,Complete Landscaping & Lighting,,05/26/2023 11:15,,https://app.propertymeld.com/1912/m/1912/meld/5356338/summary/,,
1,,3507 Manslick Road,Louisville,KY,40215,05/16/2023 17:22,No,Cleaning,Full Unit Sales Clean,High,ON v key or code 0987,Full Unit Sales Clean,Completed,T83DGXK,05/17/2023 15:53,,05/17/2023 16:15,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:53,05/17/2023 16:15,https://app.propertymeld.com/1912/m/1912/meld/5356336/summary/,,
4,,1711 Valley Forge Way - 4,Louisville,KY,40215,05/16/2023 17:20,No,Cleaning,Full Unit Sales Clean,High,on V key or code 0987,Full Unit Sales Clean (clone),Completed,TZLCI2N,05/17/2023 15:59,,05/22/2023 10:00,,,,,,,,,Garcias cleaning llc ,,05/17/2023 15:59,05/22/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5356328/summary/,,
1,,1711 Valley Forge Way - 1,Louisville,KY,40215,05/16/2023 17:18,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Deweed/Trim bushes and shrubs/mulch/leaf removal ($815). Please let us know if you approve.,Landscaping Bid,Maintenance could not complete,TGZBQRFB,,,05/24/2023 10:45,,,,"Not Approved by: Nate Apel

On: May 18th, 2023 at 3:15PM

Amount: $815.00

Note: None given",,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5356299/summary/,,
1,,1709 Valley Forge Way - 1,Louisville,KY,40215,05/16/2023 17:16,No,Landscaping,Exterior,Low,Our Lawncare Vendor has submitted a bid for Deweed/Trim bushes and shrubs/mulch ($645). Please let us know if you approve.,Landscaping Bid,Canceled by manager,TEM2VTE,,,,,05/24/2023 11:37,No Longer Manage Property,,,Waiting on Owner Approval,,,Grace Cox,,,,https://app.propertymeld.com/1912/m/1912/meld/5356286/summary/,,
